Visit_ID,Guest_ID,Visitor,spot,title,uri
22427.0,22427.0,Hr. Arnholdt von Heilbrunn Musi. f. 5.,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
22428.0,22428.0,Joseph Schmid von Bernau f. 2.,Joseph Schmid,Joseph Schmid (Bildhauer),http://de.wikipedia.org/wiki/Joseph_Schmid_%28Bildhauer%29
22446.0,22446.0,"Schönenberger f. 2, Hr Salm von Glarus.",Schönenberger,Jakob Schönenberger,http://de.wikipedia.org/wiki/Jakob_Sch%C3%B6nenberger
22447.0,22447.0,"Hr, Bayha Mahler von Stuttgardt.",Bayha,Friedrich Bayha,http://de.wikipedia.org/wiki/Friedrich_Bayha
22451.0,22451.0,"Hr, Berchtold aus Tyrol.",Berchtold,Leopold Berchtold,http://de.wikipedia.org/wiki/Leopold_Berchtold
22461.0,22461.0,Hr. Arnholdt von Heilbrunn Mufi. f.,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
22481.0,22481.0,"Hr, Bayha Mahler von Stuttgardt.",Bayha,Friedrich Bayha,http://de.wikipedia.org/wiki/Friedrich_Bayha
22511.0,22511.0,Hr. Bayha Mahler von Stuttgardt.,Bayha,Richard Bayha,http://de.wikipedia.org/wiki/Richard_Bayha
22713.0,22713.0,Hr. Arnholdt von Heilbrunn Mufi. 5,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
22714.0,22714.0,. Joseph Ackermann von Mur f. >,Joseph Ackermann,Joseph Ackermann,http://de.wikipedia.org/wiki/Joseph_Ackermann
22986.0,22986.0,Wydler von Aarau!l. 2.,Wydler,Thomas Wydler,http://de.wikipedia.org/wiki/Thomas_Wydler
22991.0,22991.0,- Hr. Arnholdt von Heilbrunn Mufi. f g.,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
22995.0,22995.0,Jacobea Koppin von Baaden.,Koppin,Ludwig Lebrecht Koppin,http://de.wikipedia.org/wiki/Ludwig_Lebrecht_Koppin
23000.0,23000.0,Laurentz Schmeltzer von Offenbach f. 2.,Schmeltzer,Wilhelm Hugo Schmeltzer,http://de.wikipedia.org/wiki/Wilhelm_Hugo_Schmeltzer
23177.0,23177.0,Mr. Brändlj de Neufchatel.,de Neufchatel,Jean I. de Neufchâtel,http://de.wikipedia.org/wiki/Jean_I._de_Neufch%C3%A2tel
23179.0,23179.0,Menny von Schaffhausen.,Menny,Max Menny,http://de.wikipedia.org/wiki/Max_Menny
23182.0,23182.0,"“Mielck von Sträfburg,. — =: E",Mielck,Wilhelm Hildemar Mielck,http://de.wikipedia.org/wiki/Wilhelm_Hildemar_Mielck
23184.0,23184.0,Hr Arnholdt vo» Heilbrunn Mil. Ser,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
23191.0,23191.0,Madame Crele de Neufchatel.,de Neufchatel,Jean I. de Neufchâtel,http://de.wikipedia.org/wiki/Jean_I._de_Neufch%C3%A2tel
23193.0,23193.0,Hr. Laurentz Schmeltzer von Ofenbacht. 3,Schmeltzer,Wilhelm Hugo Schmeltzer,http://de.wikipedia.org/wiki/Wilhelm_Hugo_Schmeltzer
23204.0,23204.0,"Pierre Kkobert de: Neufchatel,.",de: Neufchatel,Jean I. de Neufchâtel,http://de.wikipedia.org/wiki/Jean_I._de_Neufch%C3%A2tel
23266.0,23266.0,"Madame Crele de Neufchatel,",de Neufchatel,Jean I. de Neufchâtel,http://de.wikipedia.org/wiki/Jean_I._de_Neufch%C3%A2tel
23268.0,23268.0,Hr. [zureht? Schmeltzer von Offenbach f -,Schmeltzer,Wilhelm Hugo Schmeltzer,http://de.wikipedia.org/wiki/Wilhelm_Hugo_Schmeltzer
23334.0,23334.0,"Bernhard Lang von. Eiitzkirch,",Bernhard Lang,Bernhard Lang (Komponist),http://de.wikipedia.org/wiki/Bernhard_Lang_%28Komponist%29
24550.0,24550.0,"de Stainville, Mar«ch.de Fr. : Le Duc de Guifle f 12. =",Stainville,Jacques Philippe de Choiseul-Stainville,http://de.wikipedia.org/wiki/Jacques_Philippe_de_Choiseul-Stainville
