Visitor,Occurrences
hr jacob sigel von isenberg f 2,1
11 landl 1 schwäbin,1
brx aus böhmen f 2,1
ein tuchhäendler ein gersten mann aus breisgau,1
di lechi di milan,1
brodbeck von lichtftahl,1
pottin k lian mr bonafout von waldshut,1
ein kutscher von roschach,1
7 landl 3 handw,1
laurenz engweiler von st gallen f 2,1
ducret von bremgarten,1
mr andre cassati f 2 mr pitzala de milan,1
mad blaſius von raſtatt probſt von biel f 2,1
3 handw 1 landm 1 schwab,1
franz kurz von igstahl,1
12 landl 1 handw 1 schwab,1
1 st galler fuhrmann 1 handw,1
1 fuhrmann von brugg 31 landl,1
postmeister kahlj von einsislen,1
steiner von winterthur,1
jkr von wattenwyl von bern,1
isaac kyburz von aerlispach f 2,1
joh sigerift von lucern,1
bapt marrer von eschenbach,1
hr mich winckler v sehleitingen f 3,1
francois monde de nancy f 2,1
hr offenbach von zug hr imhoof von bremgarten,1
weber hr iselin von glarus f 4,1
caspar schmid von chaam,1
3 schwaben    10 landl,1
jacob nast von heilbronn f 3,1
mr andré cassarj f 3 de milan,1
12 schwaben 6 landl 3 handw,1
schaub von etzkirch,1
mr jean barade d auvergne f 2,1
hr gaudard von bern,1
hr conrad zellweger von teuffen f 4,1
mr andré caffari f 3 mr pitzala de milan,1
weber von glarus,1
mr chriffoff caffi dibergamo f 4,1
5 landl 1 handw 1 schwab,1
françoise dolot de belfort f 2,1
barbara ulrich von steckborren 4 landl,1
elif boltschhauser von bonau,1
anna müller von alterschwellen,1
daniel gottlieb werner aus schlefien,1
jacob nater von mannenmülli,1
jfri baumann von effendorff,1
anton saxer von sarnendorff f 2,1
mr andreas cassatj de milan,1
8 schwaben 16 landl,1
jacob grassel von augspurg,1
hr merz von kaysersheim f 3,1
4 handw 2 landl 18 schwaben,1
christina sägin von richenau,1
2 landl 3 bilger,1
jacob naft von heilbrunn f 2,1
joh schweitzer von griesenberg f 3,1
morell de savoye 3 landl,1
michael fischer von bernhausen f 2,1
4 franzöſiſche recrut,1
mr chriſtoff caſsi di bergamo f 4,1
1 schwab 8 landl,1
jacob tünelj von basel,1
mr andreas caſsatj de milan,1
hr merz von kayſersheim f 8,1
redelmayer hr real von regenburg,1
näff von brunnaderen,1
7 landl 1 handw,1
vonweiler von st gallen,1
1 holländ soldat,1
mr andreas caffati de milan,1
hr wilk von schinznach mr fornaro von langenfee,1
piach de milano hr lielin von schaffhaufen f 4,1
hänzel aus sachsen 12 landl,1
tobler von flach,1
23 landl 7 pilger,1
1 brisgäuer tuchhändler,1
morell de savoye        2 landl,1
1 französischer recrut,1
gömenisch aus bündten f 5,1
jacob hunkeler von altishofen f 3,1
undervogt gaillmann von wollenschweil,1
mr andreas caffatj de milan,1
4 landl 3 handw,1
mad blaſius von raftatt probſt von bielf f 2,1
mr fornaro von langenfee,1
morell de savoye 6 landl,1
joh hafer von bottikoffen,1
1 landl 3 schwaben 1 handw,1
12 schwaben 3 landl,1
2 handw 3 landl,1
lieut uhr von meling n   4 recrouten,1
botino von langensee f 2,1
